iter	Logloss
0	0.670959239
1	0.6508004984
2	0.6313042131
3	0.6134272025
4	0.595857796
5	0.5797775239
6	0.5643737612
7	0.5480307206
8	0.534128264
9	0.5203145372
10	0.5075994681
11	0.4955193344
12	0.4839275912
13	0.473084571
14	0.4631808361
15	0.4538066161
16	0.4449199639
17	0.4427641738
18	0.4345427806
19	0.4268033691
20	0.4184564477
21	0.4112399284
22	0.4042554202
23	0.4028453093
24	0.3966127793
25	0.3906462368
26	0.3893844679
27	0.3882304557
28	0.3870672342
29	0.3859244598
30	0.3804058328
31	0.3795096492
32	0.3785312237
33	0.3774494293
34	0.3765187858
35	0.3757206239
36	0.3708787099
37	0.3698474179
38	0.3690234654
39	0.3646476513
40	0.3638127412
41	0.3631364458
42	0.3587591831
43	0.3581237152
44	0.3573369499
45	0.3567475045
46	0.352909676
47	0.3521980443
48	0.348527554
49	0.3479887276
50	0.3475066859
51	0.3470652655
52	0.3435556512
53	0.340312683
54	0.3396809592
55	0.3391249439
56	0.3385770899
57	0.3380603326
58	0.3352027449
59	0.3347122296
60	0.3320089345
61	0.3316111131
62	0.3311645246
63	0.3287220012
64	0.3284055938
65	0.3280464297
66	0.3276583904
67	0.3273145311
68	0.3269230429
69	0.3265186309
70	0.32623745
71	0.3259498925
72	0.3236421457
73	0.3233070901
74	0.3229813151
75	0.3226999449
76	0.3205131028
77	0.320231277
78	0.3182044296
79	0.3179980196
80	0.3176936728
81	0.3158242935
82	0.3140466044
83	0.3137457964
84	0.3121079111
85	0.3118509716
86	0.3102153443
87	0.3099797501
88	0.3084740313
89	0.3082542461
90	0.3080805906
91	0.3078390223
92	0.3076716439
93	0.3060964385
94	0.3058799695
95	0.3045009832
96	0.3042976439
97	0.3041385288
98	0.3039643447
99	0.3037638491
100	0.3036444313
101	0.3023756544
102	0.3022407816
103	0.3010814379
104	0.3008770405
105	0.3007559939
106	0.2995924316
107	0.2994851065
108	0.2993405128
109	0.2991915155
110	0.2990739858
111	0.2989621814
112	0.2987983421
113	0.2977653073
114	0.2975916451
115	0.2974935321
116	0.2973368353
117	0.2972007739
118	0.2962246947
119	0.2952917552
120	0.2951953602
121	0.294235813
122	0.2941049749
123	0.2939729368
124	0.2938581175
125	0.2930462519
126	0.2929130864
127	0.2921118421
128	0.2912946302
129	0.2905136608
130	0.2897824937
131	0.2896915107
132	0.289589605
133	0.2888943101
134	0.2882188011
135	0.2881001677
136	0.2874559015
137	0.2873635077
138	0.2872735553
139	0.2867030936
140	0.2866267037
141	0.2865525431
142	0.2864594749
143	0.2858670412
144	0.2857670797
145	0.2856907126
146	0.2851699233
147	0.2850809598
148	0.2849767628
149	0.284879542
150	0.2847657386
151	0.2847153176
152	0.2845866918
153	0.2845196731
154	0.2844484417
155	0.2843308641
156	0.2838047925
157	0.2833083683
158	0.2832352053
159	0.2827516237
160	0.2826750111
161	0.2825547304
162	0.2821008462
163	0.2816747374
164	0.2815688093
165	0.281467022
166	0.2813762211
167	0.2813052763
168	0.281215544
169	0.2807971155
170	0.2803854962
171	0.2803117129
172	0.2802268838
173	0.280138797
174	0.2800520053
175	0.2796664999
176	0.2796013659
177	0.2795078585
178	0.2794116427
179	0.2793531741
180	0.2792854228
181	0.2792167216
182	0.2791361214
183	0.2787478539
184	0.2783660151
185	0.2783083727
186	0.2782151504
187	0.2778695069
188	0.2777893491
189	0.2777213555
190	0.2776504556
191	0.2775701058
192	0.2775153071
193	0.2774426497
194	0.2771384542
195	0.2768240918
196	0.2767829647
197	0.2767228306
198	0.2766788905
199	0.2765943804
200	0.2765378548
201	0.2764613821
202	0.2761599022
203	0.276077587
204	0.2759962401
205	0.2759505343
206	0.2756669852
207	0.2756048437
208	0.2753542738
209	0.2752880352
210	0.2752339924
