iter	Passed	Remaining
0	5	25636
1	11	28665
2	16	27710
3	20	26011
4	24	24874
5	31	26016
6	35	25512
7	40	25403
8	46	25682
9	54	27086
10	60	27281
11	65	27277
12	69	26732
13	73	26249
14	78	26197
15	82	25758
16	87	25566
17	93	25854
18	97	25630
19	101	25314
20	107	25384
21	110	25096
22	114	24813
23	119	24854
24	127	25466
25	132	25430
26	139	25694
27	146	25989
28	152	26088
29	161	26736
30	167	26821
31	175	27313
32	181	27359
33	189	27659
34	196	27820
35	200	27696
36	210	28203
37	215	28088
38	222	28334
39	228	28328
40	234	28310
41	242	28594
42	247	28538
43	252	28479
44	257	28374
45	263	28423
46	268	28298
47	272	28137
48	276	27944
49	280	27723
50	284	27593
51	288	27471
52	292	27335
53	296	27169
54	300	26999
55	305	26964
56	309	26804
57	313	26719
58	317	26600
59	321	26480
60	325	26353
61	329	26215
62	333	26145
63	337	26056
64	342	26003
65	346	25884
66	350	25819
67	355	25760
68	360	25744
69	365	25718
70	370	25713
71	375	25696
72	380	25687
73	385	25636
74	390	25659
75	394	25543
76	398	25470
77	402	25429
78	408	25432
79	412	25355
80	416	25266
81	420	25198
82	424	25121
83	427	25024
84	431	24958
85	435	24875
86	439	24807
87	442	24722
88	447	24671
89	450	24597
90	454	24514
91	458	24435
92	461	24365
93	465	24297
94	469	24233
95	473	24182
96	476	24098
97	480	24030
98	484	23970
99	487	23901
100	491	23838
101	495	23788
102	499	23739
103	503	23691
104	508	23724
105	515	23817
106	522	23871
107	526	23869
108	532	23873
109	536	23840
110	542	23875
111	546	23858
112	551	23844
113	556	23847
114	561	23839
115	565	23817
116	570	23794
117	574	23769
118	580	23798
119	585	23792
120	590	23818
121	595	23816
122	601	23836
123	605	23827
124	610	23813
125	615	23814
126	619	23785
127	624	23772
128	629	23775
129	634	23760
130	640	23797
131	644	23785
132	649	23764
133	654	23753
134	660	23801
135	665	23786
136	669	23781
137	675	23783
138	680	23812
139	688	23896
140	695	23952
141	703	24077
142	709	24092
143	715	24117
144	719	24094
145	723	24067
146	728	24050
147	732	24021
148	737	23999
149	741	23973
150	745	23954
151	750	23932
152	755	23926
153	759	23905
154	764	23885
155	768	23872
156	773	23860
157	778	23852
158	782	23839
159	787	23820
160	791	23801
161	796	23774
162	801	23774
163	806	23790
164	811	23769
165	815	23750
166	820	23737
167	824	23724
168	829	23698
169	833	23685
170	838	23668
171	842	23653
172	847	23641
173	851	23627
174	856	23609
175	861	23601
176	865	23585
177	870	23568
178	874	23550
179	878	23536
180	884	23549
181	889	23536
182	903	23781
183	911	23860
184	918	23905
185	925	23941
186	933	24013
187	938	24010
188	943	24017
189	948	24014
190	954	24026
191	958	24012
192	964	24031
193	970	24031
194	974	24011
195	979	24000
196	983	23986
197	988	23968
198	993	23966
199	997	23950
200	1003	23968
201	1009	23967
202	1015	24000
203	1020	24001
204	1025	23984
205	1032	24033
206	1038	24040
207	1043	24032
208	1048	24035
209	1053	24028
210	1058	24017
211	1062	24005
212	1068	24004
213	1073	24001
214	1079	24015
215	1084	24013
216	1090	24042
217	1096	24052
218	1102	24058
219	1106	24041
220	1111	24037
221	1115	24015
222	1120	24009
223	1125	24005
224	1130	23998
225	1135	23976
226	1140	23973
227	1144	23958
228	1149	23958
229	1154	23945
230	1160	23963
231	1165	23947
232	1170	23942
233	1176	23969
234	1181	23954
235	1186	23944
236	1191	23940
237	1196	23941
238	1200	23922
239	1205	23915
240	1210	23905
241	1215	23889
242	1220	23902
243	1226	23909
244	1232	23926
245	1241	23984
246	1247	24007
247	1253	24014
248	1259	24028
249	1265	24041
250	1270	24030
251	1276	24042
252	1281	24043
253	1286	24039
254	1291	24031
255	1297	24036
256	1301	24021
257	1307	24028
258	1312	24032
259	1318	24044
260	1324	24057
261	1331	24071
262	1336	24064
263	1342	24087
264	1347	24085
265	1352	24070
266	1357	24062
267	1361	24046
268	1366	24035
269	1372	24042
270	1378	24053
271	1384	24059
272	1388	24048
273	1396	24080
274	1404	24123
275	1408	24113
276	1413	24103
277	1418	24093
278	1423	24085
279	1429	24091
280	1436	24128
281	1441	24120
282	1447	24124
283	1452	24123
284	1458	24123
285	1464	24130
286	1469	24132
287	1474	24130
288	1479	24120
289	1484	24115
290	1489	24101
291	1494	24094
292	1498	24079
293	1503	24066
294	1508	24054
295	1512	24038
296	1517	24026
297	1521	24014
298	1526	24001
299	1531	23991
300	1535	23975
301	1540	23963
302	1545	23953
303	1549	23941
304	1554	23928
305	1559	23918
306	1563	23903
307	1568	23887
308	1572	23877
309	1577	23863
310	1582	23854
311	1586	23840
312	1591	23827
313	1595	23809
314	1599	23795
315	1604	23786
316	1609	23774
317	1613	23759
318	1618	23744
319	1622	23733
320	1627	23720
321	1632	23712
322	1636	23699
323	1641	23687
324	1645	23669
325	1650	23660
326	1654	23647
327	1659	23638
328	1663	23622
329	1668	23615
330	1673	23601
331	1677	23588
332	1682	23579
333	1686	23564
334	1691	23554
335	1695	23541
336	1700	23530
337	1705	23521
338	1711	23533
339	1717	23533
340	1723	23542
341	1727	23529
342	1731	23515
343	1736	23502
344	1740	23490
345	1745	23479
346	1750	23467
347	1754	23453
348	1759	23451
349	1765	23455
350	1770	23456
351	1776	23461
352	1782	23465
353	1787	23465
354	1793	23462
355	1797	23454
356	1802	23444
357	1807	23432
358	1811	23420
359	1816	23409
360	1820	23398
361	1825	23386
362	1829	23373
363	1834	23360
364	1838	23349
365	1843	23338
366	1847	23324
367	1852	23311
368	1856	23297
369	1861	23289
370	1865	23276
371	1870	23266
372	1874	23256
373	1879	23245
374	1884	23236
375	1888	23230
376	1893	23222
377	1898	23214
378	1903	23207
379	1908	23197
380	1912	23184
381	1916	23172
382	1921	23161
383	1925	23148
384	1930	23137
385	1934	23126
386	1939	23113
387	1943	23101
388	1948	23092
389	1952	23080
390	1957	23069
391	1961	23058
392	1965	23044
393	1969	23029
394	1974	23023
395	1980	23027
396	1985	23023
397	1991	23022
398	1996	23022
399	2002	23025
400	2007	23023
401	2012	23023
402	2018	23019
403	2022	23008
404	2026	22997
405	2031	22985
406	2035	22971
407	2040	22961
408	2044	22953
409	2049	22944
410	2053	22932
411	2058	22926
412	2063	22919
413	2068	22908
414	2072	22899
415	2077	22887
416	2081	22875
417	2085	22864
418	2090	22852
419	2095	22853
420	2100	22842
421	2104	22835
422	2109	22829
423	2114	22817
424	2118	22805
425	2123	22794
426	2127	22785
427	2132	22775
428	2136	22763
429	2140	22753
430	2145	22745
431	2149	22730
432	2154	22719
433	2158	22710
434	2162	22697
435	2167	22686
436	2171	22677
437	2176	22664
438	2180	22654
439	2184	22643
440	2189	22633
441	2196	22653
442	2201	22642
443	2205	22632
444	2210	22629
445	2215	22626
446	2220	22621
447	2227	22636
448	2234	22643
449	2239	22644
450	2245	22646
451	2253	22678
452	2260	22686
453	2269	22720
454	2274	22723
455	2279	22717
456	2287	22743
457	2298	22796
458	2310	22858
459	2319	22889
460	2325	22901
461	2334	22930
462	2340	22930
463	2345	22926
464	2351	22932
465	2356	22931
466	2362	22927
467	2368	22937
468	2373	22932
469	2380	22940
470	2384	22929
471	2389	22922
472	2394	22914
473	2399	22909
474	2403	22901
475	2408	22893
476	2413	22885
477	2418	22880
478	2423	22869
479	2427	22861
480	2432	22852
481	2437	22843
482	2442	22837
483	2446	22827
484	2451	22820
485	2455	22809
486	2460	22800
487	2464	22789
488	2469	22777
489	2473	22766
490	2478	22756
491	2482	22745
492	2486	22735
493	2491	22725
494	2495	22715
495	2500	22703
496	2505	22704
497	2511	22702
498	2516	22701
499	2522	22705
500	2528	22708
501	2534	22712
502	2540	22710
503	2544	22700
504	2549	22691
505	2553	22681
506	2558	22669
507	2562	22658
508	2567	22650
509	2571	22640
510	2576	22629
511	2580	22620
512	2585	22610
513	2589	22598
514	2593	22588
515	2598	22581
516	2602	22570
517	2607	22560
518	2612	22553
519	2616	22543
520	2621	22532
521	2625	22522
522	2630	22514
523	2634	22504
524	2639	22496
525	2643	22489
526	2648	22483
527	2653	22474
528	2658	22465
529	2663	22460
530	2667	22453
531	2672	22442
532	2676	22433
533	2681	22424
534	2685	22416
535	2690	22408
536	2694	22397
537	2699	22387
538	2704	22379
539	2708	22370
540	2713	22361
541	2717	22352
542	2722	22343
543	2726	22334
544	2731	22327
545	2736	22322
546	2741	22315
547	2746	22309
548	2751	22305
549	2756	22303
550	2761	22297
551	2766	22294
552	2771	22287
553	2776	22278
554	2781	22277
555	2785	22267
556	2791	22263
557	2795	22254
558	2800	22250
559	2805	22240
560	2809	22233
561	2815	22234
562	2820	22227
563	2825	22223
564	2831	22223
565	2837	22225
566	2844	22239
567	2850	22240
568	2855	22240
569	2863	22251
570	2869	22257
571	2874	22249
572	2879	22247
573	2884	22239
574	2889	22238
575	2895	22236
576	2900	22230
577	2904	22221
578	2909	22216
579	2914	22206
580	2918	22196
581	2922	22185
582	2927	22181
583	2932	22173
584	2936	22165
585	2941	22158
586	2946	22150
587	2952	22153
588	2957	22151
589	2962	22142
590	2966	22133
591	2971	22125
592	2976	22123
593	2982	22120
594	2987	22118
595	2992	22113
596	2997	22105
597	3001	22097
598	3007	22095
599	3011	22086
600	3016	22079
601	3021	22074
602	3027	22073
603	3032	22070
604	3039	22076
605	3044	22077
606	3051	22086
607	3058	22092
608	3064	22097
609	3070	22099
610	3076	22096
611	3080	22090
612	3085	22080
613	3090	22075
614	3095	22067
615	3099	22057
616	3103	22049
617	3108	22043
618	3113	22033
619	3117	22026
620	3122	22018
621	3127	22011
622	3131	22001
623	3136	21995
624	3140	21986
625	3146	21983
626	3151	21976
627	3155	21970
628	3160	21960
629	3165	21958
630	3170	21950
631	3174	21942
632	3179	21934
633	3184	21931
634	3189	21922
635	3193	21913
636	3198	21907
637	3203	21900
638	3207	21890
639	3211	21881
640	3216	21873
641	3220	21864
642	3225	21858
643	3230	21849
644	3234	21840
645	3239	21831
646	3245	21834
647	3253	21852
648	3259	21853
649	3266	21859
650	3272	21864
651	3278	21863
652	3284	21865
653	3289	21861
654	3296	21864
655	3303	21872
656	3309	21873
657	3316	21884
658	3324	21897
659	3337	21947
660	3343	21949
661	3351	21960
662	3358	21971
663	3371	22017
664	3386	22075
665	3396	22100
666	3408	22141
667	3422	22191
668	3434	22233
669	3440	22232
670	3446	22232
671	3454	22249
672	3461	22253
673	3471	22278
674	3476	22276
675	3484	22285
676	3488	22273
677	3491	22259
678	3498	22264
679	3502	22249
680	3506	22235
681	3510	22224
682	3516	22225
683	3520	22217
684	3524	22204
685	3531	22209
686	3535	22195
687	3539	22182
688	3543	22169
689	3549	22169
690	3553	22156
691	3556	22142
692	3563	22144
693	3567	22134
694	3571	22124
695	3577	22122
696	3583	22122
697	3591	22135
698	3598	22143
699	3603	22133
700	3608	22127
701	3614	22131
702	3619	22122
703	3623	22110
704	3629	22112
705	3633	22099
706	3637	22087
707	3641	22075
708	3645	22063
709	3649	22048
710	3652	22035
711	3657	22025
712	3660	22011
713	3664	21997
714	3668	21983
715	3672	21970
716	3676	21959
717	3679	21946
718	3683	21932
719	3687	21920
720	3691	21907
721	3695	21895
722	3699	21882
723	3702	21868
724	3707	21863
725	3712	21854
726	3716	21842
727	3719	21829
728	3723	21815
729	3727	21802
730	3731	21789
731	3735	21778
732	3738	21764
733	3742	21750
734	3745	21735
735	3749	21720
736	3753	21709
737	3756	21696
738	3760	21682
739	3764	21672
740	3768	21659
741	3772	21645
742	3775	21633
743	3779	21619
744	3783	21609
745	3787	21595
746	3790	21582
747	3794	21569
748	3798	21556
749	3802	21544
750	3805	21532
751	3809	21519
752	3814	21512
753	3817	21499
754	3821	21487
755	3825	21475
756	3829	21463
757	3833	21452
758	3836	21439
759	3840	21427
760	3844	21414
761	3848	21402
762	3851	21390
763	3855	21377
764	3859	21364
765	3863	21354
766	3867	21341
767	3870	21330
768	3874	21318
769	3878	21305
770	3882	21296
771	3886	21283
772	3890	21274
773	3894	21265
774	3898	21253
775	3903	21245
776	3907	21234
777	3911	21225
778	3915	21216
779	3919	21205
780	3924	21199
781	3929	21193
782	3933	21186
783	3938	21179
784	3943	21173
785	3947	21166
786	3952	21160
787	3957	21151
788	3962	21148
789	3966	21139
790	3970	21129
791	3974	21118
792	3980	21117
793	3984	21105
794	3988	21095
795	3993	21089
796	3998	21084
797	4001	21071
798	4005	21062
799	4009	21051
800	4013	21039
801	4017	21028
802	4021	21017
803	4024	21005
804	4028	20993
805	4032	20981
806	4035	20969
807	4039	20958
808	4043	20945
809	4047	20934
810	4050	20924
811	4054	20911
812	4058	20902
813	4062	20889
814	4066	20879
815	4070	20869
816	4073	20857
817	4077	20845
818	4080	20833
819	4084	20821
820	4088	20810
821	4092	20798
822	4096	20789
823	4099	20778
824	4104	20769
825	4110	20769
826	4114	20761
827	4119	20755
828	4124	20751
829	4128	20744
830	4133	20736
831	4138	20729
832	4141	20719
833	4145	20709
834	4149	20698
835	4153	20686
836	4157	20676
837	4160	20664
838	4164	20654
839	4169	20648
840	4173	20636
841	4178	20633
842	4181	20621
843	4186	20615
844	4190	20604
845	4200	20624
846	4204	20614
847	4208	20605
848	4212	20595
849	4216	20587
850	4220	20576
851	4224	20566
852	4230	20565
853	4238	20575
854	4246	20584
855	4250	20578
856	4255	20574
857	4260	20568
858	4266	20567
859	4272	20567
860	4278	20568
861	4285	20572
862	4290	20569
863	4296	20568
864	4301	20560
865	4310	20578
866	4316	20575
867	4321	20570
868	4328	20575
869	4335	20583
870	4340	20577
871	4345	20571
872	4350	20566
873	4355	20559
874	4359	20551
875	4364	20546
876	4369	20539
877	4373	20533
878	4378	20527
879	4383	20520
880	4387	20513
881	4392	20507
882	4396	20499
883	4401	20493
884	4405	20485
885	4410	20480
886	4415	20474
887	4419	20465
888	4423	20457
889	4428	20451
890	4433	20444
891	4437	20438
892	4442	20433
893	4449	20434
894	4455	20433
895	4461	20433
896	4466	20431
897	4472	20430
898	4477	20425
899	4483	20423
900	4487	20414
901	4491	20408
902	4496	20400
903	4500	20391
904	4505	20385
905	4510	20379
906	4514	20373
907	4519	20367
908	4524	20362
909	4529	20357
910	4534	20351
911	4539	20346
912	4544	20344
913	4549	20338
914	4553	20330
915	4558	20322
916	4562	20313
917	4566	20306
918	4572	20303
919	4576	20296
920	4581	20289
921	4585	20282
922	4590	20276
923	4595	20270
924	4599	20264
925	4604	20257
926	4609	20250
927	4613	20243
928	4618	20238
929	4622	20231
930	4627	20224
931	4632	20220
932	4640	20226
933	4646	20229
934	4661	20265
935	4670	20277
936	4682	20303
