iid_pid,iid,id,gender,idg,condtn,partner,pid,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,field_cd,race,imprace,imprelig,zipcode,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,nb,duo
6805.0,509,1.0,0.0,1.0,2.0,1.0,531,-0.11999999731779099,1.0,25.0,4.0,15.0,30.0,20.0,20.0,10.0,5.0,7.0,10.0,10.0,10.0,10.0,8.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,531_509
6806.0,509,1.0,0.0,1.0,2.0,2.0,532,0.029999999329447746,1.0,26.0,4.0,25.0,20.0,20.0,20.0,5.0,10.0,6.0,7.0,8.0,6.0,8.0,8.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,532_509
6807.0,509,1.0,0.0,1.0,2.0,3.0,533,0.3700000047683716,0.0,26.0,2.0,25.0,25.0,25.0,13.0,12.0,0.0,6.0,6.999999999999999,7.0,5.0,5.0,6.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,533_509
6808.0,509,1.0,0.0,1.0,2.0,4.0,534,0.10999999940395355,0.0,24.0,6.0,30.0,30.0,30.0,5.0,2.0,3.0,6.0,5.0,4.0,6.0,6.0,6.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,534_509
6809.0,509,1.0,0.0,1.0,2.0,5.0,535,0.38999998569488525,0.0,23.0,2.0,23.0,14.0,19.0,16.0,10.0,18.0,6.0,8.0,8.0,6.0,7.0,6.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,535_509
6810.0,509,1.0,0.0,1.0,2.0,6.0,536,0.8399999737739563,0.0,29.0,2.0,30.0,20.0,20.0,20.0,10.0,0.0,6.0,7.0,6.0,4.0,8.0,3.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,536_509
6811.0,509,1.0,0.0,1.0,2.0,7.0,537,0.6700000166893005,1.0,22.0,4.0,20.0,5.0,25.0,25.0,5.0,20.0,7.0,8.0,9.0,8.0,8.0,8.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,537_509
6812.0,509,1.0,0.0,1.0,2.0,8.0,538,0.36000001430511475,0.0,32.0,2.0,50.0,0.0,10.0,30.0,0.0,10.0,7.0,7.0,9.0,8.0,7.0,8.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,538_509
6813.0,509,1.0,0.0,1.0,2.0,9.0,539,0.5799999833106995,0.0,22.0,2.0,30.0,10.0,20.0,15.0,15.0,10.0,1.0,6.0,5.0,5.0,4.0,3.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,539_509
6814.0,509,1.0,0.0,1.0,2.0,10.0,540,0.10000000149011612,0.0,24.0,2.0,20.0,15.0,20.0,20.0,15.0,10.0,6.0,7.0,6.0,5.0,3.0,3.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,540_509
