iid_pid,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,field_cd,race,imprace,imprelig,zipcode,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,nb,duo
6804.0,453,14.0,1.0,24.0,2.0,17.0,11.0,2.0,14.0,1.0,10.0,439,0.0,0.47999998927116394,0.0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,3.0,10.0,10.0,3.0,10.0,0.0,27.0,1.0,4.0,4.0,3.0,210009.0,37881.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,1,453_439
6803.0,453,14.0,1.0,24.0,2.0,17.0,11.0,13.0,14.0,10.0,9.0,438,0.0,0.3100000023841858,0.0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,0.0,3.0,9.0,10.0,3.0,10.0,2.0,27.0,1.0,4.0,4.0,3.0,210009.0,37881.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,1,453_438
6802.0,453,14.0,1.0,24.0,2.0,17.0,11.0,12.0,14.0,9.0,8.0,437,0.0,0.4000000059604645,0.0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,0.0,6.0,8.0,10.0,6.0,9.0,5.0,27.0,1.0,4.0,4.0,3.0,210009.0,37881.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,1,453_437
6801.0,453,14.0,1.0,24.0,2.0,17.0,11.0,6.0,14.0,4.0,7.0,436,0.0,0.5899999737739563,0.0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,0.0,7.0,10.0,8.0,8.0,8.0,7.0,27.0,1.0,4.0,4.0,3.0,210009.0,37881.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,1,453_436
6800.0,453,14.0,1.0,24.0,2.0,17.0,11.0,7.0,14.0,5.0,6.0,435,0.0,-0.17000000178813934,0.0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,0.0,2.0,9.4041817415536,8.595818258446402,7.404181741553598,8.297909129223202,6.404181741553598,27.0,1.0,4.0,4.0,3.0,210009.0,37881.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,1,453_435
6799.0,453,14.0,1.0,24.0,2.0,17.0,11.0,4.0,14.0,3.0,5.0,434,0.0,-0.2199999988079071,0.0,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,0.0,4.0,8.0,7.0,5.0,5.0,6.0,27.0,1.0,4.0,4.0,3.0,210009.0,37881.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,1,453_434
6798.0,453,14.0,1.0,24.0,2.0,17.0,11.0,3.0,14.0,2.0,4.0,433,0.0,0.3199999928474426,0.0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,0.0,2.0,7.0,7.0,2.0,7.0,1.0,27.0,1.0,4.0,4.0,3.0,210009.0,37881.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,1,453_433
6797.0,453,14.0,1.0,24.0,2.0,17.0,11.0,11.0,14.0,8.0,3.0,432,1.0,0.27000001072883606,0.0,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,1.0,3.0,9.0,10.0,5.0,10.0,10.0,27.0,1.0,4.0,4.0,3.0,210009.0,37881.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,1,453_432
6796.0,453,14.0,1.0,24.0,2.0,17.0,11.0,9.0,14.0,7.0,2.0,431,0.0,0.1899999976158142,1.0,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,0.0,3.0,8.0,7.0,4.0,4.0,1.0,27.0,1.0,4.0,4.0,3.0,210009.0,37881.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,1,453_431
6795.0,453,14.0,1.0,24.0,2.0,17.0,11.0,8.0,14.0,6.0,1.0,430,0.0,0.0,1.0,22.0,4.0,10.0,25.0,15.0,20.0,15.0,15.0,0.0,4.0,8.0,9.0,8.0,9.0,2.0,27.0,1.0,4.0,4.0,3.0,210009.0,37881.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,1,453_430
